"","distnames","Passrate","Poverty","fit","correctedpass","passrank","corpovrank","povrank"
"1","Aberdeen School District",88,37.2235872235872,82.7058336865724,1.06401200589418,67,33,90
"2","Alcorn County Schools",91,25.1083293211363,89.7952030533398,1.01341716378707,47,71,29
"3","Amite County School District",78,35.9880537580886,83.4288189645127,0.934928732878001,111,117,83
"4","Amory School District",88,31.0137972405519,86.3395569827875,1.01923154432613,67,63,59
"5","Attala County School District",88,33.5782512858192,84.8389399841743,1.03725954162576,67,47,70
"6","Baldwyn School District",93,28.7863590772317,87.6429656273708,1.06112338091577,25,34,44
"7","Bay St. Louis-Waveland Schools",91,31.0372446936324,86.3258364613644,1.05414559221477,47,40,60
"8","Benton County Schools",89,35.833891493637,83.5190286194714,1.06562542059129,58,31,82
"9","Biloxi Public Schools",92,36.6592121107862,83.0360836629471,1.10795206061787,40,10,86
"10","Booneville School District",94,35.0721420643729,83.9647742331809,1.11951709342956,19,8,76
"11","Brookhaven School District",75,40.018176310209,81.0705507711843,0.925120148889601,116,120,102
"12","Calhoun County Schools",87,35.1929690485289,83.8940710647423,1.03702203142414,71,48,78
"13","Canton Public School",69,33.9398180545836,84.6273654229756,0.815339100480458,132,139,73
"14","Carroll County Schools",81,25.7802746566792,89.4020072405642,0.90601992617508,98,124,32
"15","Chickasaw County Schools",78,25.2699784017279,89.7006124099264,0.869559280638405,111,133,30
"16","Choctaw County Schools",94,33.7689133425034,84.7273720955709,1.10944075893172,19,9,72
"17","Claiborne County Schools",73,51.2820512820513,74.4793769951542,0.980137092241649,126,97,133
"18","Clarksdale Municipal Schools",69,54.9019607843137,72.3611492411567,0.953550361258705,132,110,135
"19","Clay County Schools",100,45.5377574370709,77.8407103770937,1.28467481239004,2,1,118
"20","Cleveland School District",82,50.0151285930408,75.2207300042153,1.09012502265539,94,18,131
"21","Clinton Public Schools",98,22.4596852535458,91.3450847205264,1.07285466207442,5,25,16
"22","Coahoma County Schools",85,46.7966573816156,77.10405196053,1.10240639549672,83,13,124
"23","Coffeeville School District",74,35.7798165137615,83.5506711572468,0.885690072563607,121,128,80
"24","Columbia School District",82,38.2772390188249,82.0892783626543,0.998912423590083,94,84,97
"25","Columbus Municipal Schools",81,43.6591201914228,78.9400145312274,1.02609558005538,98,58,115
"26","Copiah County Schools",78,36.7685305591678,82.9721148341018,0.940074869201017,111,116,87
"27","Corinth School District",95,34.4770566349731,84.312994671224,1.12675395258406,10,6,74
"28","Covington County Schools",83,37.5433526011561,82.5187196448787,1.00583237787974,89,81,93
"29","DeSoto County Schools",87,15.0501768410156,95.6808357532774,0.909272994064749,71,122,3
"30","Durant Public Schools",67,62.2529644268775,68.0596328839982,0.984430816930731,137,93,144
"31","East Jasper School District",73,38.7218045112782,81.8291362336879,0.892102780988991,126,127,98
"32","East Tallahatchie School District",87,42.0718816067653,79.8688037233704,1.08928637896379,71,20,110
"33","Enterprise School District",99,24.1059602649007,90.3817497483165,1.09535387703472,3,14,23
"34","Forest Municipal Schools",68,40.1505646173149,80.9930823741868,0.839577875130633,136,138,103
"35","Forrest County School",83,36.4835164835165,83.1388937894727,0.998329376503079,89,85,85
"36","Franklin County Schools",92,29.9866131191432,86.9406244716497,1.05819345742105,40,37,54
"37","George County Schools",87,24.120036101083,90.3735131261458,0.962671439789699,71,106,24
"38","Greene County Schools",86,22.891016871865,91.0926865308674,0.944093354529162,73,113,18
"39","Greenville Public Schools",63,50.5679974034404,74.8972130605525,0.841152793616848,139,137,132
"40","Greenwood Public School",74,54.3626337982485,72.6767420452445,1.01820744735546,121,65,134
"41","Grenada School District",92,34.6993081426291,84.1829418863159,1.0928579821342,40,15,75
"42","Gulfport School District",90,42.0917548925249,79.8571746631874,1.12701207348735,52,5,111
"43","Hancock County Schools",89,24.5863793766833,90.1006275005108,0.987784463537675,58,90,27
"44","Harrison County Schools",92,31.2488736709317,86.2019995607497,1.06726062584156,40,30,63
"45","Hattiesburg Public Schools",80,49.4083414161009,75.5757978417291,1.05853993321428,103,36,127
"46","Hazelhurst Public Schools",61,45.3125,77.9725221129119,0.782326880637079,141,141,117
"47","Hinds County Schools",85,21.0450276908259,92.1728863298989,0.922180083368267,83,121,9
"48","Hollandale School District",77,47.7341389728097,76.5554748416578,1.00580657567942,113,82,126
"49","Holly Springs School District",71,35.7945425361156,83.5420540718647,0.849871370638364,129,135,81
"50","Holmes County Schools",59,59.6622279961026,69.5756292942758,0.847998079190268,142,136,141
"51","Houston School District",95,29.8895027624309,86.9974496084826,1.09198603438988,10,16,53
"52","Humphreys County Schools",65,62.1513944223108,68.1190676302294,0.954211533734422,138,109,143
"53","Itawamba County Schools",92,23.8477472812014,90.5328457655435,1.01620576733284,40,67,21
"54","Jackson County Schools",92,17.7787073833926,94.0842076831888,0.977847422702363,40,99,5
"55","Jackson Public Schools",72,46.4586583463339,77.3018356169752,0.931413845807681,127,118,121
"56","Jefferson County Schools",71,49.5546558704453,75.4901804146057,0.940519675672455,129,115,128
"57","Jefferson Davis Co. Schools",84,41.8970189701897,79.9711264167141,1.05037910260626,87,42,109
"58","Jones County Schools",88,25.5134541460736,89.5581400418255,0.982601916016815,67,96,31
"59","Kemper County School District",78,37.3279816513761,82.6447461996706,0.943798651296613,111,114,91
"60","Kosciusko School District",92,38.8540734109221,81.7517377092106,1.12535834195038,40,7,99
"61","Lafayette County Schools",94,22.3516563523844,91.4082989573825,1.02835301687242,19,54,15
"62","Lamar County Schools",92,18.783542039356,93.4962182168471,0.983997018859341,40,94,6
"63","Lauderdale County Schools",88,22.5898631373139,91.268909775771,0.964183753440223,67,105,17
"64","Laurel School District",86,40.9065782200111,80.5506931391438,1.06765065139096,73,29,106
"65","Lawrence County Schools",90,26.6030013642565,88.9205801372468,1.01213914552837,52,75,34
"66","Leake County Schools",75,33.0539855778601,85.1457195244844,0.880842870538349,116,130,66
"67","Lee County Schools",93,22.0377560583746,91.5919809843349,1.01537273242191,25,69,13
"68","Leflore County Schools",68,55.519161480511,71.9999878243714,0.944444604155649,136,112,137
"69","Leland School District",68,46.3390170511535,77.3718449671584,0.878872670399208,136,131,120
"70","Lincoln County Schools",94,22.1753246753247,91.5114812750685,1.0271935137565,19,57,14
"71","Long Beach School District",91,28.5302593659942,87.7928250412028,1.03653117390051,47,49,42
"72","Louisville Municipal School District",85,37.6513317191283,82.4555345391743,1.03085863762871,83,52,95
"73","Lowndes County Schools",93,23.3118027011157,90.8464593195378,1.02370527917756,25,59,19
"74","Lumberton Public Schools",84,29.7872340425532,87.0572932152565,0.964881825492815,87,104,52
"75","Madison County Schools",96,12.1224218230206,97.3940421006036,0.985686577222417,7,91,1
"76","Marion County Schools",85,35.0883152173913,83.9553103442158,1.01244340175149,83,73,77
"77","Marshall County Schools",74,33.1537708129285,85.0873291547171,0.869694709366695,121,132,67
"78","McComb Separate School District",70,42.7905531385954,79.4482655900887,0.88107650280452,130,129,112
"79","Meridian Separate School District",82,43.4942770688067,79.0364742016039,1.03749567308426,94,46,114
"80","Monroe County Schools",92,19.4314806957997,93.117070162425,0.988003594180138,40,89,7
"81","Montgomery County Schools",88,30.011862396204,86.9258495941548,1.01235708837889,67,74,55
"82","Moss Point School District",68,30.4825901038485,86.6503983724364,0.78476269327379,136,140,56
"83","Natchez-Adams School District",81,41.1014375379632,80.4366691793865,1.00700340810181,98,80,107
"84","Neshoba County Schools",94,31.1646063760573,86.2513094461615,1.08983852655217,19,19,61
"85","Nettleton School District",98,25,89.8585930840738,1.09060243029077,5,17,28
"86","New Albany Public Schools",92,29.7799511002445,87.0615549048152,1.05672360320906,40,38,50
"87","Newton County School District",95,27.4938169826876,88.3993100984583,1.07466902054088,10,23,37
"88","Newton Municipal School District",89,36.8087035358114,82.9486071983352,1.07295351912535,58,24,88
"89","North Bolivar Consolidated School District",73,57.2143452877398,71.0080333607709,1.0280526941101,126,55,140
"90","North Panola Schools",85,44.1527446300716,78.6511650488456,1.0807214355593,83,21,116
"91","North Pike School District",92,31.4660831509847,86.0748971708165,1.06883659491832,40,26,64
"92","North Tippah School District",88,29.3051359516616,87.3393979351777,1.00756362054743,67,79,47
"93","Noxubee County Schools",73,49.7142857142857,75.3967713486117,0.968211220377995,126,102,129
"94","Ocean Spring School District",96,16.4640883977901,94.853470677055,1.01208737344834,7,76,4
"95","Okolona Municipal Sep. Schools",62,33.6216216216216,84.8135613803889,0.731015170108586,140,143,71
"96","Oktibbeha County Schools",75,35.2437064809855,83.8643815276063,0.894300996845862,116,126,79
"97","Oxford School District",91,28.4823284823285,87.8208722970778,1.03620013807387,47,51,41
"98","Pascagoula School District",91,29.7826956405813,87.0599489084472,1.04525675860086,47,44,51
"99","Pass Christian Public Schools",94,23.5759493670886,90.6918911463169,1.03647634658259,19,50,20
"100","Pearl Public Schools",90,21.2835093419984,92.033336307442,0.977906523994202,52,98,12
"101","Pearl River County Schools",100,27.8469197261979,88.1926883498072,1.13388084512585,2,4,38
"102","Perry County Schools",89,32.5858444288718,85.4196571944608,1.0419147409757,58,45,65
"103","Petal School District",94,20.6844866350237,92.3838606844728,1.01749374082825,19,66,8
"104","Philadelphia Public School",78,43.3281004709576,79.1337141689039,0.985673436653257,111,92,113
"105","Picayune School District",85,36.4400305576776,83.164340031972,1.02207268123961,83,62,84
"106","Pontotoc City School District",93,23.9022369511185,90.5009605675704,1.02761340229714,25,56,22
"107","Pontotoc County School District",90,21.1344423234251,92.1205644261975,0.976980553262932,52,100,10
"108","Poplarville School District",94,28.1870313189237,87.9936685083671,1.06825867807821,19,28,40
"109","Prentiss County Schools",89,27.2331154684096,88.5518623052767,1.00506073709866,58,83,35
"110","Quitman County Schools",85,56.7185289957567,71.2981654289638,1.19217653762337,83,3,139
"111","Quitman Municipal Schools",85,30.7868252516011,86.4723720064987,0.982972919877946,83,95,57
"112","Rankin County Schools",92,13.9736381233293,96.3107835982804,0.955240904110375,40,108,2
"113","Richton School District",80,28.011611030479,88.096317517511,0.908096981285266,103,123,39
"114","Scott County Schools",85,39.6963123644252,81.2588928119299,1.04603935715355,83,43,101
"115","Senatobia Municipal School District",80,21.1538461538462,92.1092100726961,0.868534209954259,103,134,11
"116","Simpson County School District",89,37.098325957283,82.7791316214022,1.07515020098362,58,22,89
"117","Smith County School District",93,29.2328956461645,87.3816701024697,1.06429643529292,25,32,45
"118","South Delta School District",73,55.453618756371,72.0383408321632,1.0133492686912,126,72,136
"119","South Panola School District",94,33.3714024668799,84.9599797253294,1.10640327721236,19,11,69
"120","South Pike School District",77,45.8258527827648,77.6721283844596,0.991346594995663,113,87,119
"121","South Tippah School District",92,29.2862398822664,87.3504551670255,1.0532286274191,40,41,46
"122","Starkville School District",84,30.9407665505226,86.3822916518218,0.972421527534555,87,101,58
"123","Stone County Schools",93,28.5343709468223,87.7904191068507,1.05934110972643,25,35,43
"124","Sunflower Consolidated School District",78,47.1534391534392,76.8952773901368,1.01436658592514,111,70,125
"125","Tate County Schools",80,26.4150943396226,89.0305358901467,0.898568105876738,103,125,33
"126","Tishomingo County School District",91,24.4622003687769,90.1732921405652,1.00916799020874,47,78,26
"127","Tunica County School District",79,46.5893892108783,77.2253370897581,1.022980319376,104,61,122
"128","Tupelo Public School District",88,27.2584651588443,88.53702866985,0.993934417295022,67,86,36
"129","Union County School District",92,24.2337164750958,90.306991871079,1.01874725415877,40,64,25
"130","Union Public School District",91,31.2154696132597,86.221546293068,1.05542064498229,47,39,62
"131","Vicksburg-Warren Schools",82,40.6393204426065,80.7070818116275,1.01601988523622,94,68,105
"132","Walthall County Schools",78,37.7612469004605,82.3912165258267,0.946702856069006,111,111,96
"133","Water Valley Schools",80,37.3572593800979,82.6276140317218,0.968199323404001,103,103,92
"134","Wayne County Schools",84,33.3158584534731,84.9924818833787,0.988322709710483,87,88,68
"135","Webster County Schools",88,29.5505617977528,87.1957844447262,1.00922310132761,67,77,49
"136","West Bolivar Consolidated School District",74,60.2046959662854,69.2581985106118,1.06846556207583,121,27,142
"137","West Jasper School District",81,29.3388429752066,87.3196739192229,0.927626001843879,98,119,48
"138","West Point School District",92,49.8953662182362,75.2908102054019,1.22192867561145,40,2,130
"139","West Tallahatchie School",74,46.7836257309941,77.1116775666424,0.95964712914003,121,107,123
"140","Western Line School District",85,37.592698231603,82.4898445351872,1.03042987265835,83,53,94
"141","Wilkinson County Schools",57,40.5866302864939,80.7379140053524,0.705988019410822,143,144,104
"142","Winona Public School District",90,39.1572456320658,81.5743333258507,1.10328820758476,52,12,100
"143","Yazoo City Municipal Schools",53,55.587044534413,71.9602653482401,0.736517573184522,144,142,138
"144","Yazoo County School District",82,41.642591828312,80.120007109162,1.02346471198232,94,60,108
